6a6bb6a8378aee900dbc832189483535_0_3 8,7,14,3,29,31
fecd946fb693a91cdb7d0ff3109b267b_0_9 8,11,20
1f83d3fe0412b5ccffc321c22ea93df6_1_7 11,8,20,18
f482a7e00eb805383d1aedaaba6f907f_0_6 8,14,29,7,31
76bd3c13487e0652c1809cde08ce3cf0_0_18 9
f512f915654f52d63dcc626a98a2d768_0_10 14,31,3,16
7127af89a5fc58e27267cb31f1a6fc7d_0_2 22,8
9a9ed0cd853bd7fc22692d9de800d295_0_1 29,7,11,18,6,20,22,8
b5d60a26d872047f538cea1cf2e42f92_0_4 28,0,26,9
28cefeb983995477bf2c5d2daa2a4bff_0_14 8,1
09ded7acae6b23313443ee181a429dc3_0_0 16,3
099e0e8af3b776f91c7a65cd4332631b_0_3 29,3,8
9b820febcbcb6dec64319987a49c9a06_0_18 0,9,30
8f535524ebddddc4cab6843d7d8b81a5_0_46 3,16
511d6820b9d600991bd6b079d2e1c9d7_0_28 22,8
885e2218f850124c5c77fef5f3bfcff5_0_0 11,3,31,8,20,29,14,16
54b7a646878561b783c0f59cc2b36047_0_11 9
c96601c84c412a1a17fd5c1d3c24e372_0_0 25,26,9,0
3871cec236bd71e3f2ec089fd93c2a67_1_3 8,2,16,9,21
5405e2a2a804dfac207cdd5094fb2d90_0_11 29,8,2,18,21,7
5afae95d5f1452ec0842661fb142d9ae_0_178 3,16
b7f48ee654778920f6c21c40d8119cf6_0_0 29,8,3
817824f87d24946ab2121d080f3f5865_0_1 20,7,29,10,8,3,16,18,22,31,14,11
4a9b54f5f7abe2082537ccb8eb436140_0_7 8,22
1f41849b26f38ff75f09d3ec65d92ccf_0_2 16,29,18,3,8
2323b35de8446e09c6594689a02231f3_0_12 20,11,3,29,31,8,2,21,14
3d4deab8b0cf00076c9759ad1d93ac51_0_48 3,8,16
0e416df591b2f5fcc2fe163cf52028db_0_0 25,9
768ef63542be419688aba069fd7ece9d_1_0 8,29,14,31
8b07e8062c04a3a0c9faa1f0408a122e_0_0 3,8,29,16
676f95bf77d4c71605df86dd8c5618cf_0_0 9
50fe08a66a07417b44d0bdd95b4faf33_0_0 18,3,8,7,29
2c90cf9d9e89fc535799651a8cff0e47_0_0 3,18,22,29,20,11,31,16,8
d313c6d535e785175462569e2a54d233_0_9 18,30,8
0b588fc04ef23b44710d8e34df408387_0_1 26,18,3,1,16,29,30,8
6411e63b0cbb3bb1d8485521a4cf1745_1_5 18,20,31,8,29,14,11
541ef6acded273ad1a4510e687e872ec_1_2 9
bfd551b5807a3634b6e6f417b79de1a6_0_11 3,29
3d3a99b725b2487133735bf0136e4b84_0_12 3,16
5691401b5209f615899d5cadc6c0ddcd_0_1 0,9
9002c6edd8401652b615af58e95ed98a_0_0 5,22,15,8,18,20,11,7,29,3
c52eb7821f507ba191f1d6b279c63ffd_0_7 18,8,30
f0d18f89acc06dc76110bd1279293ee3_0_1 22,8,11,20
de302f37cd0b27297d5d3cdd3a6ca8f1_0_1 11,29,18,20,30,22,8,3
bd7ee89a3235e526c50534f36558c0a4_0_11 16,3
e486916d2f5ed8e927eab0ec0fc442b9_0_0 8,31,22,16,20,18,14,11,3
1597fcc2aa4bacb998f02a9c3cb0c172_0_80 21,2,3,7,16
933f90a0fcbc1f3c42fd509dc309c5e1_1_0 3,9,16
690c5021c0a35be8d470e264bb5fc712_0_91 3,29
2c1fb97e2b38607dff7d1ecc3bcd5580_0_6 17,9,0,26,25
8e52e6c2ad44b0948ca5e6c37184bb46_0_1 8,11,20,16,7,18,3
c67d33ec6bf4927994297e29a347e241_0_4 9
381205e0837f0046897c26136d8644a7_0_0 30,9,8
1683dc0f3c27293b012672e7ed4cbabc_0_0 18,14,7,3,2,8,31,21,29
31a1435ddbc3d912e883453d3d6597fe_0_10 18,8
8b8020e5c473b6d3f8ff63b609977b4c_0_0 8,29
bfb7014586707c3582bd46c5b0230a06_0_0 29,8,31,14
041329c48e59b8031c124ffb137fda44_0_6 27,18,31,9,26,14,25,29,0,7,4,8
96f3a0b7580b2cbba383f9d0bc8eb82f_0_0 8,29
94e5c98676faca026f7338215a9a2b72_0_0 31,18,8,29,14
72fb7248c4a28ed1c0bc10292cc7b39c_0_14 7,3,29
62fe0312415c755b9989e65be62d4459_0_0 8,26,10,21,30,1,2,29,18
cea065ed0df7002955abe21bffba3991_0_0 29,8
9b4954b4613e83b084e00474004eb644_0_3 31,3,21,16,14,2
eb437f6eb03ec97cac237f313489ba42_0_2 9
000d939dc2257995adcb27483b04ad04_0_11 9,11,20,8
cd4ee16c13924896d37c01e52f4e7ca3_0_3 0,25,9,26
01add1c5ab0a7c1a0935578cf599381d_0_3 14,8,7,29,31
238cfc5f37bb2077d9a12ebb226c3f51_0_38 3,16
3defb475884355248522b07db9c94db1_0_9 8,3,29
13dbb222ca1405a8ac6dca09592fbdbf_0_9 7,3,16
4435d39caf9e70341841ac56e8bd9410_0_1 25,9,0
50876dcadaa9f9bba7534f8d2d16dbad_0_108 8,22
f7da1ac93479831daf10604fb91cebd5_0_0 29,21,8,31,7,2,14
8596c65d15bc3e63846332b39ffef865_0_0 7,8,14,3,29
42291d17d4032e7c4a3363ba3d89fdce_0_10 7,16,3
168ae6ecc5ee37188f7992ba56ed5412_0_28 11,22,20,9,30,8
50d88976469e2208ea7a9008519ec914_1_4 20,18,8,11
cfebd20c6ad91bc98771b140f49c4dcd_0_30 9,18,8
02f4edb35dbaab86b4da3c2c447381aa_0_4 29,8
b982ee44b814f8eb92d00f19098ab18f_0_8 22,11,20,8
313f0fd4b621e56a861416e4703fe1de_0_6 3,14,5,2,16,21,7
eb78bd541b1f9b36396b459a8c254dbd_0_16 14,7,3,31,16,29
39f174bed37a52ae73fbb6875a131234_0_3 3,18,29,8
486bc06bc53fcd8be004ad56e9ae9466_0_0 14,18,2,8,27,29,21,31,4
f24c0786387c2306d2bc695cc6462427_0_15 31,14,29,9,8
87cacbed4d959d63e966928bb4852d8c_0_4 22,21,2,8,9
253dc233bc46741eec2894f1138a2f02_0_0 23,9
1986da3daa78aea1ec69ccb84e956bee_0_0 30,8,18,26,1
750340d9acd8916f12145b3e3e0883e7_0_4 16,9,21,8,2
02c21f2ded373dbddb7d5948ac3721c5_0_0 11,20,3,29
b36f0b539e1cb80fa894dfda513a5e9e_0_0 18,8,9
147c7f1c720fc66f5a50a820f4668905_0_10 29,3
f77e0d3949d9872ac6a17e7b0c0ea147_0_6 9,20,11,22
7859961f4b61112f773b224b3fc2cccd_0_1 15,11,9,20,5,8,16,3,18
4d5dfbf3fce311ab30a19c8f8bc45a56_0_3 0,9
ac7db4b7f82bd732effd4f3d03f960d9_0_0 29,31,8,14
4ecbdd0063b50443d0fbcd54c70c4f76_0_30 21,14,11,20,9,2
2a9de486092d3247516660de951a51c1_0_45 31,4,27,14,3,29
fd2ce3673bc2584570b221519b97cbac_1_2 3,16
efe0286a0449f8668e5467845bb2be9d_0_0 0,26,9
6ef46417681999c408d85e412e8c986d_1_1 3,20,11,8,9,14,16,22,31,18
a98b2f94ee3e32ad30713bee260d7bba_0_4 8,29
2be53ee242d2a4856efc3a4091ae4b38_0_0 3,8,29,21,7,2
5183815df0aca24895aa7ebb8c776c64_0_0 3,29
